id,label,predicted_labels
1245,6,0
220,9,1
1518,3,2
438,7,3
1270,2,4
832,1,5
692,5,6
1309,2,4
1101,5,6
1742,2,4
787,1,7
677,9,8
584,4,9
1541,0,10
1268,4,9
1751,2,4
339,3,2
173,7,3
1433,8,7
1067,8,7
497,4,9
1240,3,2
203,9,1
1586,7,3
1659,5,6
212,6,0
619,3,11
162,5,6
1441,6,0
1004,3,2
900,4,9
415,9,1
1000,1,5
366,4,9
1091,4,9
611,6,0
1360,9,1
1483,4,9
1200,7,3
65,6,0
1222,6,0
233,9,1
298,1,7
962,3,2
1732,6,0
479,1,12
865,3,2
422,0,10
984,6,0
1333,5,6
432,5,6
1040,1,7
813,9,11
109,5,6
532,6,0
305,0,10
29,9,1
1722,0,10
915,0,10
70,1,12
1283,0,10
1456,4,9
1700,5,6
408,2,4
887,4,9
1448,5,6
1121,7,3
1258,0,10
1395,7,3
1784,5,6
251,9,1
930,5,6
1358,5,6
530,4,9
1036,7,3
1716,0,10
1671,4,9
237,5,6
618,5,6
1488,9,1
514,9,1
588,0,10
1490,2,4
23,3,2
332,8,7
464,0,10
1252,6,0
270,4,9
367,4,9
1786,9,1
1204,1,12
570,2,4
643,8,7
316,3,2
1010,5,6
398,2,4
589,9,1
701,0,10
111,4,9
637,4,9
239,4,9
1087,3,2
1738,5,6
1558,3,2
210,1,12
1730,3,2
679,5,6
774,9,8
483,4,9
591,2,4
543,7,3
610,7,3
557,4,9
844,4,9
471,1,12
1706,9,1
115,2,7
1145,7,3
482,8,7
754,7,3
631,2,4
1773,6,0
1285,9,1
966,4,9
1078,0,10
1373,7,3
730,2,4
342,7,3
135,5,6
554,8,7
1657,7,3
1407,5,6
1073,7,3
480,7,8
1177,0,10
322,6,0
188,6,0
124,4,9
1142,2,4
1596,8,7
49,0,10
1740,9,1
650,4,9
1473,6,0
254,9,1
381,9,8
931,6,0
1616,9,1
526,0,10
1729,3,2
289,5,6
1762,6,0
841,6,0
78,0,10
712,6,0
613,4,9
599,3,11
73,9,1
867,3,2
69,9,3
1719,7,3
798,2,4
1454,9,1
416,0,10
1384,4,9
1061,5,6
1726,3,2
968,6,0
809,5,6
275,9,8
535,9,1
76,8,7
1502,4,9
307,2,4
1247,1,7
354,3,2
602,7,3
857,7,3
1472,2,4
1208,2,4
1504,3,2
585,9,1
674,8,7
30,0,10
1566,3,2
759,2,4
1618,2,4
365,5,6
351,6,0
1027,9,1
1392,9,1
1567,4,9
99,1,7
1274,5,6
1043,4,9
371,2,4
1350,3,2
481,6,0
1124,4,9
168,8,7
938,5,6
1132,9,1
1189,5,6
707,7,3
1790,8,7
478,9,1
1512,4,9
544,8,7
1380,1,7
32,5,6
767,4,9
1161,4,9
849,9,1
1431,6,0
861,1,7
1103,8,7
1510,6,0
185,0,10
1114,4,9
1228,5,6
331,2,4
44,7,3
247,4,9
582,6,0
1198,4,9
1576,5,6
196,6,0
1323,0,10
1347,3,2
778,2,4
59,3,2
1223,6,0
350,7,3
1471,1,12
1018,5,6
527,1,5
660,4,9
1785,7,3
1449,6,0
1197,8,7
123,8,7
1292,5,6
1656,5,6
303,1,7
792,6,0
518,2,4
383,8,7
1743,8,7
1633,9,8
1582,9,6
1269,7,3
1391,6,0
1669,2,4
1744,2,4
979,2,4
999,3,2
324,4,9
1544,8,7
1080,8,7
839,3,2
67,6,0
382,0,10
555,9,1
